times,looking_binary,rmsVals,brightVals,roughVals,fluxVals,pitchVals
91.5,1,0.0768808374805461,1285.52611099554,68827.241466746,492.338424690749,NaN
92,1,0.0746669147603681,2008.63840537934,177974.535488767,667.425796509258,374.829265194807
92.5,1,0.0655006020478132,2302.53872385865,115810.524270789,633.337095111879,260.305960388455
93,1,0.0469936924442963,1877.38747542934,19191.3572805271,682.04754551911,396.600761246684
93.5,1,0.0437134667559624,1928.14260077261,52670.3882977806,366.05931321756,394.956684679672
94,1,0.0470920299316152,1467.01445862775,59724.4316918009,376.430159315027,393.931592716317
94.5,1,0.0378688910661261,1256.72889266399,8946.20437009826,387.023031026755,353.787287733264
95,1,0.0218369869389516,1033.32990722776,1612.16791221288,280.211130367031,NaN
95.5,1,0.0146283903883019,1286.97519075597,647.149221400102,95.0808978226012,NaN
96,1,0.0107013415475141,2906.93221487008,266.99661105427,56.4762112690477,NaN
96.5,1,0.00826874137606616,3749.58239195858,159.321890351811,43.5172479945013,NaN
97,1,0.0183576984984337,2755.98751272246,132.606693154478,83.7212458828144,NaN
97.5,1,0.0467513672523609,2123.44318924149,32603.0800146074,420.755802593983,243.401724718233
98,1,0.0485031862078643,5166.53866418747,28686.4333124896,555.488027581682,783.337497691859
98.5,1,0.0275765939288981,6121.55096571987,9199.94574127957,567.989838085014,203.964347247741
99,1,0.0243890815046236,3267.83847651255,8050.01656508774,289.879357666682,NaN
99.5,1,0.0294103903552657,3977.52261776514,14672.1677701269,296.768029934225,206.355245142809
100,1,0.0298532751228317,2145.20396944264,8043.18602364232,325.946475144836,NaN
100.5,1,0.029994882696626,2414.56405889756,9817.74251359512,398.158159096147,220.541124316172
101,1,0.0388180674081095,2754.6148387886,33439.754818439,581.839979717035,332.395209019454
101.5,1,0.0336383457034901,3562.01599241435,11048.2579947449,375.508361499647,199.656858006435
102,1,0.0240972631464994,2100.04861534533,2809.04777812544,297.612966835546,687.394650467815
102.5,1,0.0231129108854548,2633.13515566126,7573.64993313288,196.053271187893,NaN
103,0,0.0265694536275682,3491.8956733427,991.318710763073,148.889226667918,NaN
103.5,0,0.03251371423404,1956.80113237994,16991.7718149827,366.416564645159,234.23861937963
104,1,0.0261444217491424,2020.9995988975,23712.451788772,382.789877104301,335.51247132205
104.5,0,0.0166405025889591,3903.34710280705,1513.73963877421,307.306086881444,NaN
105,0,0.0235125235153087,6530.31370716619,311.579837500759,217.277107554067,259.467843061133
105.5,0,0.0260814865064321,4350.39342603156,11068.2477435847,272.538761707088,239.570090498725
106,0,0.0200911376466099,5903.09489681879,347.412664934663,369.270166128239,229.440859747365
106.5,0,0.0235879877232227,2390.92879478191,8700.84930854896,227.180934791793,216.493301380429
107,0,0.0195949221140707,2028.25488298107,2181.98949633971,212.432428832611,NaN
107.5,0,0.00798959274230694,4171.70084094544,31.9265709228688,220.116290221897,NaN
108,0,0.00661603851433865,3235.83817086191,0.0833138187001634,85.7311775847333,NaN
108.5,0,0.00985025872648943,1593.05198160854,0,50.3123032345596,NaN
109,1,0.024604411672482,1830.79768020938,12272.2232062934,295.361966604494,NaN
109.5,1,0.0227470340424882,2106.86902246639,8292.94740428575,225.5282915248,718.496857537894
110,1,0.00306919725116702,2208.40457584338,0,257.862913252095,NaN
110.5,1,0.00457650962093499,5209.81735109076,0,38.8687324984333,NaN
111,1,0.00553205584192222,5674.34358561697,0,61.566366090942,NaN
111.5,1,0.0158604416858957,6113.3222619518,0,75.297781953635,NaN
